masterId,parentId,itemGuid,Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
1300000000070704296,1300000000070704262,72845763-15be-40fc-b93e-12572a07e349,Mussels Dinner,Food,[],false,22.0,23.18,,510.0,18.22,0.0,46.0,491.78,,,,40.39,0.0,0.0,46.0,2.0,24.00,556.00
1300000000070704300,1300000000070704262,2a5a095a-ff55-4fcd-a194-1c2a7a41663e,Pangasius,Food,[],false,18.0,24.33,,438.0,0.0,0.0,0.0,438.0,,,,36.1,0.0,0.0,0.0,0.0,18.00,438.00
1300000000070704268,1300000000070704262,acf87d38-4688-4cda-be06-4edcca970a6a,Pasta Alfredo,Food,[],false,152.0,23.74,,3609.0,71.68,0.0,203.0,3537.32,,,,289.3,0.0,0.0,203.0,8.0,160.00,3812.00
1300000000070704270,1300000000070704262,1ae3e879-ac95-4ba7-a903-af40d00bc2ea,Pasta Carbonara,Food,[],false,172.5,25.23,,4351.76,64.21,0.0,68.25,4287.55,,,,351.39,0.0,0.0,68.25,2.5,175.00,4420.01
1300000000070704272,1300000000070704262,ec3ac15c-2bb5-4367-b3e3-f9940726b8db,Pasta Pesto,Food,[],false,136.0,24.32,,3307.5,15.54,0.0,29.5,3291.96,,,,269.67,0.0,0.0,29.5,1.0,137.00,3337.00
1300000000070704276,1300000000070704262,6e1e1a12-f4a0-4e9e-9026-51e0aae1e140,Primavera,Food,[],false,42.0,18.76,,788.0,23.21,0.0,26.0,764.79,,,,62.52,0.0,0.0,26.0,1.0,43.00,814.00
1300000000070704278,1300000000070704262,f6b905ff-465c-40cb-be71-ec8b201e48dd,RED Primavera,Food,[],false,5.0,18.00,,90.0,0.0,0.0,0.0,90.0,,,,7.35,0.0,0.0,0.0,0.0,5.00,90.00
1300000000070704294,1300000000070704262,31ff20f6-bf44-4ba3-9185-35036c3732d6,Scampi,Food,[],false,35.0,24.06,,842.0,13.11,0.0,0.0,828.89,,,,68.36,0.0,0.0,0.0,0.0,35.00,842.00
1300000000070704292,1300000000070704262,13576378-6393-4f56-a88a-4bf3ceaf8150,Sorrentino,Food,[],false,27.0,24.56,,663.0,30.14,0.0,0.0,632.86,,,,52.1,0.0,0.0,0.0,0.0,27.00,663.00
1300000000070704288,1300000000070704262,cb55d80d-3c69-4e12-af5a-f8ebe289021a,Spag Pie,Food,[],false,62.0,19.23,,1192.0,39.18,0.0,0.0,1152.82,,,,94.17,0.0,0.0,0.0,0.0,62.00,1192.00
1300000000070704264,1300000000070704262,0f471da8-686f-42d8-a54f-bad7a5c56646,Spaghetti,Food,[],false,42.0,15.00,,630.0,0.0,0.0,14.0,630.0,,,,51.71,0.0,0.0,14.0,1.0,43.00,644.00
1300000000070704266,1300000000070704262,2fc2cf4c-c17c-4cc5-b9dd-a0df336a35a0,Spaghetti & Meatballs,Food,[],false,75.0,20.35,,1526.0,31.57,0.0,0.0,1494.43,,,,122.56,0.0,0.0,0.0,0.0,75.00,1526.00
1300000000070704274,1300000000070704262,e5952ef0-b957-4a3d-b3db-5e2ef48b4e13,White truffle Chicken,Food,[],false,85.0,24.47,,2080.0,41.13,0.0,48.0,2038.87,,,,167.95,0.0,0.0,48.0,2.0,87.00,2128.00
1300000000070704290,1300000000070704262,2ed97fab-db04-4314-8765-1e877b84f491,Zucc Patty Pasta,Food,[],false,16.0,16.75,,268.0,18.27,0.0,0.0,249.73,,,,20.42,0.0,0.0,0.0,0.0,16.00,268.00
