Type,masterId,parentId,itemGuid,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
menuItem,1300000000070704306,1300000000070704302,fb815adc-5060-4d5e-9954-ec111775314b,Food,Kids Meal,,Kids Fettucini,,,Food,[],false,12.0,8.46,,101.5,0.0,0.0,0.0,101.5,,,,8.35,0.0,0.0,0.0,0.0,12.00,101.50
menuItem,1300000000070704304,1300000000070704302,7b9220cc-35a1-45ad-8ec7-f35bb677535d,Food,Kids Meal,,Kids Spaghetti,,,Food,[],false,27.0,8.37,,226.0,1.2,0.0,8.0,224.8,,,,18.53,0.0,0.0,8.0,1.0,28.00,234.00
menuItem,1300000000070704310,1300000000070704302,b5abe076-0e91-4ce5-a989-ab87cfc18436,Food,Kids Meal,,Pepperoni Pizza Bread,,,Food,[],false,8.0,8.00,,64.0,0.0,0.0,0.0,64.0,,,,5.28,0.0,0.0,0.0,0.0,8.00,64.00
"",1300000000076475774,,57448c50-d54f-495d-ae2b-b5e189ab7163,Food,Desserts,,,,,,,,401.0,9.42,,3778.99,61.19,0.0,78.5,3717.80,,,,302.53,0.0,0.0,78.5,9.0,410.00,3857.49
menuItem,1300000000076477259,1300000000076475774,9002ee78-52a2-453c-bd9e-c62c42abc21c,Food,Desserts,,Cannoli,,,Food,[],false,150.0,8.50,,1274.99,28.14,0.0,42.5,1246.85,,,,101.19,0.0,0.0,42.5,5.0,155.00,1317.49
menuItem,1300000000076477261,1300000000076475774,1793226d-b797-46a7-a480-ad23e8b4b06a,Food,Desserts,,Lemon Cream Cake,,,Food,[],false,60.0,12.00,,720.0,4.8,0.0,0.0,715.2,,,,58.9,0.0,0.0,0.0,0.0,60.00,720.00
menuItem,1300000000076477265,1300000000076475774,ecbb765f-a3ff-47a0-a017-6b67b24c9781,Food,Desserts,,Mini Cannoli,,,Food,[],false,31.0,3.29,,101.99,0.0,0.0,0.0,101.99,,,,8.37,0.0,0.0,0.0,0.0,31.00,101.99
menuItem,1300000000076477263,1300000000076475774,403543ec-b792-4559-8684-6a19f3747f86,Food,Desserts,,Tiramisu,,,Food,[],false,93.0,12.50,,1162.51,26.95,0.0,12.5,1135.56,,,,91.95,0.0,0.0,12.5,1.0,94.00,1175.01
menuItem,1300000006174366637,1300000000076475774,3cf8e73c-b712-42e3-96e9-97f86e288104,Food,Desserts,,New York Cheese Cake,,,Food,[],false,42.0,8.50,,357.0,0.0,0.0,17.0,357.0,,,,28.98,0.0,0.0,17.0,2.0,44.00,374.00
menuItem,1300000006174366638,1300000000076475774,d06f4bce-887d-4b6d-8326-3090573ddcc8,Food,Desserts,,Chocolate Cake,,,Food,[],false,25.0,6.50,,162.5,1.3,0.0,6.5,161.2,,,,13.14,0.0,0.0,6.5,1.0,26.00,169.00
"",,,,Beer & Wine,,,,,,,,,433.0,12.88,,5575.0,121.56,0.0,193.0,5453.44,,,,447.71,0.0,0.0,193.0,16.0,449.00,5768.00
"",1300000000070704316,,3f8e3bad-ef26-456d-9e71-17b963333e1f,Beer & Wine,Beer,,,,,,,,122.0,6.39,,780.0,16.14,0.0,12.0,763.86,,,,61.97,0.0,0.0,12.0,2.0,124.00,792.00
menuItem,1300000000070704318,1300000000070704316,ae17cdc8-3133-401f-9fa9-d0effa7e168a,Beer & Wine,Beer,,Bottle Coors banquet,,,Wine,[],false,19.0,5.00,,95.0,0.0,0.0,5.0,95.0,,,,7.6,0.0,0.0,5.0,1.0,20.00,100.00
menuItem,1300000000070704320,1300000000070704316,798ba56d-5877-4e26-b747-0a247a8e6c16,Beer & Wine,Beer,,Bottle Coors Light,,,Wine,[],false,18.0,5.00,,90.0,0.0,0.0,0.0,90.0,,,,7.2,0.0,0.0,0.0,0.0,18.00,90.00
menuItem,1300000000070704328,1300000000070704316,44a73b4e-00fb-402a-ab60-ea8022897506,Beer & Wine,Beer,,Bottle Moretti,,,Wine,[],false,13.0,7.00,,91.0,5.08,0.0,0.0,85.92,,,,7.0,0.0,0.0,0.0,0.0,13.00,91.00
menuItem,1300000000070704332,1300000000070704316,e0bd13ae-ba0b-4ea8-9843-50791cf8ba85,Beer & Wine,Beer,,Bottle New Belg 1554,,,Wine,[],false,17.0,7.00,,119.0,1.27,0.0,0.0,117.73,,,,9.61,0.0,0.0,0.0,0.0,17.00,119.00
menuItem,1300000000070704326,1300000000070704316,c0f3ee00-1974-43b5-b98a-6e24579e4187,Beer & Wine,Beer,,Bottle Peroni,,,Wine,[],false,34.0,7.00,,238.0,2.97,0.0,0.0,235.03,,,,19.15,0.0,0.0,0.0,0.0,34.00,238.00
menuItem,1300000000070704324,1300000000070704316,52cae686-f463-425f-bb95-95e01a69cbc8,Beer & Wine,Beer,,Bottle Stella,,,Wine,[],false,21.0,7.00,,147.0,6.82,0.0,7.0,140.18,,,,11.41,0.0,0.0,7.0,1.0,22.00,154.00
"",1300000000070704356,,6d3d02c2-f714-4f2b-aed8-8ddfa87cda36,Beer & Wine,Red Bottle,,,,,,,,29.0,36.66,,1063.0,10.7,0.0,0.0,1052.3,,,,86.41,0.0,0.0,0.0,0.0,29.00,1063.00
menuItem,1300000000070704358,1300000000070704356,6721cfd4-26b2-47ba-8450-7bdab2681d67,Beer & Wine,Red Bottle,,BTL Al Verdi Sangiovese,,,Wine,[],false,3.0,31.00,,93.0,0.0,0.0,0.0,93.0,,,,7.62,0.0,0.0,0.0,0.0,3.00,93.00
menuItem,1300000000158670233,1300000000070704356,cca960c8-aee5-4174-8133-4917fd7d7b7b,Beer & Wine,Red Bottle,,BTL Auspicion Cabernet,,,Wine,[],false,4.0,37.00,,148.0,0.0,0.0,0.0,148.0,,,,12.16,0.0,0.0,0.0,0.0,4.00,148.00
menuItem,1300000000070704360,1300000000070704356,8242ce2a-be3f-4b65-b9f5-843aa99b34eb,Beer & Wine,Red Bottle,,BTL Calimoro Montepulciano,,,Wine,[],false,9.0,37.00,,333.0,3.7,0.0,0.0,329.3,,,,27.05,0.0,0.0,0.0,0.0,9.00,333.00
menuItem,1300000007867174967,1300000000070704356,37ccb8f5-3fdb-4829-8545-e13026f57574,Beer & Wine,Red Bottle,,Campobello Chianti,,,Wine,[],false,4.0,38.50,,154.0,7.0,0.0,0.0,147.0,,,,12.09,0.0,0.0,0.0,0.0,4.00,154.00
menuItem,1300000000070704366,1300000000070704356,cf548a2a-9416-49af-acb6-0a2b7538d76f,Beer & Wine,Red Bottle,,BTL Dogajolo Red,,,Wine,[],false,1.0,39.00,,39.0,0.0,0.0,0.0,39.0,,,,3.2,0.0,0.0,0.0,0.0,1.00,39.00
menuItem,1300000000070704362,1300000000070704356,abf9e93e-039b-4569-885e-ca32c696927c,Beer & Wine,Red Bottle,,BTL Due Torri Pinot Noir,,,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
menuItem,1300000000070704364,1300000000070704356,9df4e634-c4da-4d6c-908b-96b09bb79e06,Beer & Wine,Red Bottle,,BTL Opici Basket,,,Wine,[],false,4.0,37.00,,148.0,0.0,0.0,0.0,148.0,,,,12.16,0.0,0.0,0.0,0.0,4.00,148.00
menuItem,1300000000070704368,1300000000070704356,a59984f5-1a0d-48a3-b0d7-96fad41de3b4,Beer & Wine,Red Bottle,,BTL Valpolicella,,,Wine,[],false,1.0,40.00,,40.0,0.0,0.0,0.0,40.0,,,,3.28,0.0,0.0,0.0,0.0,1.00,40.00
"",1300000000070704334,,65ac09b0-6735-4342-87da-01dbc35150ac,Beer & Wine,Red Glass,,,,,,,,160.0,11.24,,1799.0,50.44,0.0,56.0,1748.56,,,,144.13,0.0,0.0,56.0,5.0,165.00,1855.00
menuItem,1300000000070704336,1300000000070704334,56942418-2bd4-4e8f-8ea0-1e99d468862d,Beer & Wine,Red Glass,,GLS Al Verdi Sangiovese,,,Wine,[],false,23.0,10.00,,230.0,4.1,0.0,20.0,225.9,,,,18.52,0.0,0.0,20.0,2.0,25.00,250.00
menuItem,1300000000070704354,1300000000070704334,333b2ada-e0ed-49a0-b83a-3b3cfef650d9,Beer & Wine,Red Glass,,GLS Auspicion Cab,,,Wine,[],false,30.0,12.00,,360.0,11.04,0.0,0.0,348.96,,,,28.75,0.0,0.0,0.0,0.0,30.00,360.00
menuItem,1300000000070704352,1300000000070704334,7ca0f6f4-b9a2-4d4f-b3fd-8647fdff5dea,Beer & Wine,Red Glass,,GLS Avia Merlot,,,Wine,[],false,10.0,10.00,,100.0,0.0,0.0,0.0,100.0,,,,8.18,0.0,0.0,0.0,0.0,10.00,100.00
menuItem,1300000000070704338,1300000000070704334,7c3eeb25-b534-4359-9c20-689bd8461be1,Beer & Wine,Red Glass,,GLS Calimoro Montepulciano,,,Wine,[],false,26.0,11.00,,286.0,27.76,0.0,0.0,258.24,,,,21.34,0.0,0.0,0.0,0.0,26.00,286.00
menuItem,1300000000070704344,1300000000070704334,aa961ebf-1e17-4d4e-9bc9-406a7a9ba2be,Beer & Wine,Red Glass,,GLS Dogajolo Red,,,Wine,[],false,6.0,12.00,,72.0,0.0,0.0,12.0,72.0,,,,5.94,0.0,0.0,12.0,1.0,7.00,84.00
menuItem,1300000000070704340,1300000000070704334,de8467df-3b93-4283-a598-ce8dd4cf784b,Beer & Wine,Red Glass,,GLS Due Torri Pinot Noir,,,Wine,[],false,16.0,11.00,,176.0,3.35,0.0,0.0,172.65,,,,14.27,0.0,0.0,0.0,0.0,16.00,176.00
menuItem,1300000000070704348,1300000000070704334,730904bb-625c-4201-a5cb-7caa2fcbaa67,Beer & Wine,Red Glass,,GLS Nero,,,Wine,[],false,4.0,11.00,,44.0,0.0,0.0,0.0,44.0,,,,3.65,0.0,0.0,0.0,0.0,4.00,44.00
menuItem,1300000000070704342,1300000000070704334,9df8294a-4cae-44a0-b896-e2473aabc1eb,Beer & Wine,Red Glass,,GLS Opici Basket,,,Wine,[],false,13.0,11.00,,143.0,0.0,0.0,11.0,143.0,,,,11.83,0.0,0.0,11.0,1.0,14.00,154.00
menuItem,1300000000070704350,1300000000070704334,4d0b9582-4b6f-4a2f-809a-2a944cabb7c2,Beer & Wine,Red Glass,,GLS Campobello Chianti,,,Wine,[],false,1.0,12.00,,12.0,0.0,0.0,0.0,12.0,,,,0.99,0.0,0.0,0.0,0.0,1.00,12.00
